1.96, 8.41875, -4.86125, 12.84, 3.9357, -4.78073, 0, 13.15, 2.87
1.98, 8.09751, -5.05249, 12.71, 3.84905, -4.65117, 16, 12.72, 2.69
2, 7.77238, -4.94762, 12.28, 3.72882, -4.13294, 16, 12.58, 2.09
2.02, 7.44437, -5.13563, 12.14, 3.65004, -6.01155, 16, 12.24, 2.29
2.04, 7.11457, -5.12543, 11.8, 3.53479, -6.07633, 16, 11.76, 2.34
2.06, 6.7841, -4.9759, 11.32, 3.42575, -5.36375, 16, 12.05, 1.93
2.08, 6.45411, -5.59589, 11.61, 3.31215, -6.7889, 16, 11.35, 2.07
2.1, 6.12579, -5.22421, 10.91, 3.21638, -5.10463, 0, 11.12, 1.79
2.12, 5.80036, -5.31964, 10.68, 3.09823, -6.01155, 0, 11.32, 2.18
2.14, 5.47906, -5.84094, 10.88, 2.99334, -5.16941, 32, 10.81, 2.81
2.16, 5.16313, -5.64687, 10.37, 2.85776, -4.32728, -16, 11.17, 3.11
2.18, 4.85381, -6.31619, 10.73, 2.76034, -6.01155, 16, 10.5, 3.92
2.2, 4.55234, -5.94766, 10.06, 2.59201, -6.72412, -16, 10.22, 4.21
2.22, 4.25996, -5.96004, 9.78, 2.49002, -6.40022, 0, 10.73, 3.6
2.24, 3.97787, -6.75213, 10.29, 2.36109, -6.33544, 0, 9.56, 4.92
2.26, 3.70725, -5.85275, 9.12, 2.2392, -7.37192, 16, 9.56, 3.88
2.28, 3.44924, -6.11076, 9.12, 2.10611, -8.14927, 16, 9.33, 2.71
2.3, 3.20495, -6.12505, 8.89, 1.99998, -6.27066, -16, 8.73, 3.25
2.32, 2.97542, -5.75458, 8.29, 1.8698, -3.74426, -16, 8.44, 3.48
2.34, 2.76164, -5.67836, 8, 1.76283, -6.52978, -16, 7.91, 3.31
2.36, 2.56455, -5.34544, 7.47, 1.64136, -3.6147, 16, 7.97, 3.39
2.38, 2.38501, -5.58499, 7.53, 1.54352, -5.29897, -16, 7.27, 4.02
2.4, 2.22379, -5.04621, 6.83, 1.4295, -4.00338, -16, 7.24, 4.16
2.42, 2.0816, -5.1584, 6.8, 1.31922, -4.19772, 16, 6.92, 3.65
2.44, 1.95906, -4.96094, 6.48, 1.22553, -5.03985, 0, 6.09, 4.24
2.46, 1.85668, -4.23332, 5.65, 1.13597, -2.51345, -16, 6.35, 4.95
2.48, 1.7749, -4.5751, 5.91, 1.04269, -4.00338, 0, 5.65, 6.44
2.5, 1.71404, -3.93596, 5.21, 0.958116, -3.67948, 0, 5.98, 5.76
2.52, 1.67435, -4.30565, 5.54, 0.844519, -5.42853, 0, 5.58, 5.26
2.54, 1.65595, -3.92405, 5.14, 0.774038, -2.18955, 0, 5.3, 5.46
2.56, 1.65885, -3.64115, 4.86, 0.712265, -3.48514, -16, 5.46, 5.76
2.58, 1.68299, -3.77701, 5.02, 0.632663, -3.03168, 0, 4.65, 6.11
2.6, 1.72817, -2.92183, 4.21, 0.564256, -3.16124, 0, 5.6, 6.08
2.62, 1.7941, -3.8059, 5.16, 0.494605, -2.96691, 0, 4.37, 6.22
2.64, 1.88038, -2.48962, 3.93, 0.427027, -3.2908, 0, 4.78, 5.87
2.66, 1.98651, -2.79349, 4.34, 0.378935, -2.05999, -16, 4.15, 5.31
2.68, 2.1119, -2.0381, 3.71, 0.326696, -1.80087, 0, 3.78, 5.99
2.7, 2.25584, -1.52416, 3.34, 0.302236, 0.272074, -16, 3.83, 6.09
